game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,original_date,reschedule_type,reschedule,day_difference,final_date,NewReschedule
Tue,2020-12-22,2020,7:00p,Golden State Warriors,99,Brooklyn Nets,125,,0,2020/2021,Dec,22,12,2020-12-22,,0.0,,2020-12-22,
Tue,2020-12-22,2020,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,,0,2020/2021,Dec,22,12,2020-12-22,,0.0,,2020-12-22,
Wed,2020-12-23,2020,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,,300,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,7:00p,New York Knicks,107,Indiana Pacers,121,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,7:00p,Miami Heat,107,Orlando Magic,113,,3396,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,7:00p,Washington Wizards,107,Philadelphia 76ers,113,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,,3800,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,7:30p,Milwaukee Bucks,121,Boston Celtics,122,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,8:00p,Atlanta Hawks,124,Chicago Bulls,104,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
Wed,2020-12-23,2020,9:00p,Sacramento Kings,124,Denver Nuggets,122,OT,0,2020/2021,Dec,23,12,2020-12-23,,0.0,,2020-12-23,
