Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date,original_month,original_day,home_team,visitor_team,game_month,game_day,original_month_number,game_month_number,original_date,source,reschedule,day_difference
19/1/2021,Chicago Blackhawks,4,Florida Panthers,5,OT,3667.0,02:34,,2021-01-19,,,,,,,,,,,0.0,
19/1/2021,Columbus Blue Jackets,2,Detroit Red Wings,3,OT,,02:21,,2021-01-19,,,,,,,,,,,0.0,
2/3/2021,Carolina Hurricanes,4,Nashville Predators,2,,,02:27,,2021-01-19,Jan.,19.0,Predators,Hurricanes,March,2.0,1.0,3.0,2021-01-19,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,42.0
19/1/2021,New Jersey Devils,4,New York Rangers,3,,,02:30,,2021-01-19,,,,,,,,,,,0.0,
20/1/2021,Minnesota Wild,3,Anaheim Ducks,2,,,02:33,,2021-01-20,,,,,,,,,,,0.0,
20/1/2021,San Jose Sharks,2,St. Louis Blues,1,SO,,02:36,,2021-01-20,,,,,,,,,,,0.0,
20/1/2021,Edmonton Oilers,3,Toronto Maple Leafs,1,,,02:17,,2021-01-20,,,,,,,,,,,0.0,
20/1/2021,Montreal Canadiens,5,Vancouver Canucks,6,SO,,02:31,,2021-01-20,,,,,,,,,,,0.0,
20/1/2021,Arizona Coyotes,2,Vegas Golden Knights,5,,,02:24,,2021-01-20,,,,,,,,,,,0.0,
21/1/2021,Winnipeg Jets,4,Ottawa Senators,1,,,02:25,,2021-01-21,,,,,,,,,,,0.0,
21/1/2021,Montreal Canadiens,7,Vancouver Canucks,3,,,02:31,,2021-01-21,,,,,,,,,,,0.0,
21/1/2021,Colorado Avalanche,2,Los Angeles Kings,4,,,02:25,,2021-01-21,,,,,,,,,,,0.0,
21/1/2021,Philadelphia Flyers,4,Boston Bruins,5,SO,,02:46,,2021-01-21,,,,,,,,,,,0.0,
21/1/2021,Tampa Bay Lightning,3,Columbus Blue Jackets,2,OT,,02:29,,2021-01-21,,,,,,,,,,,0.0,
21/1/2021,New Jersey Devils,1,New York Islanders,4,,,02:25,at Nassau Veterans Memorial Coliseum (Uniondale NY),2021-01-21,,,,,,,,,,,0.0,
