game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number
Tue,2020-12-29,2020,7:00p,Boston Celtics,116,Indiana Pacers,111,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,7:00p,Chicago Bulls,115,Washington Wizards,107,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,7:00p,Toronto Raptors,93,Philadelphia 76ers,100,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,7:30p,Milwaukee Bucks,144,Miami Heat,97,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,8:00p,Orlando Magic,118,Oklahoma City Thunder,107,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,10:00p,New Orleans Pelicans,86,Phoenix Suns,111,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,10:00p,Denver Nuggets,115,Sacramento Kings,125,,0,2020/2021,Dec,29,12
Tue,2020-12-29,2020,10:00p,Minnesota Timberwolves,101,Los Angeles Clippers,124,,0,2020/2021,Dec,29,12
Wed,2020-12-30,2020,7:30p,Milwaukee Bucks,108,Miami Heat,119,,0,2020/2021,Dec,30,12
Wed,2020-12-30,2020,7:30p,Atlanta Hawks,141,Brooklyn Nets,145,,0,2020/2021,Dec,30,12
Wed,2020-12-30,2020,7:30p,Memphis Grizzlies,107,Boston Celtics,126,,0,2020/2021,Dec,30,12
Wed,2020-12-30,2020,8:30p,Charlotte Hornets,118,Dallas Mavericks,99,,0,2020/2021,Dec,30,12
Wed,2020-12-30,2020,8:30p,Los Angeles Lakers,121,San Antonio Spurs,107,,0,2020/2021,Dec,30,12
Wed,2020-12-30,2020,10:00p,Portland Trail Blazers,105,Los Angeles Clippers,128,,0,2020/2021,Dec,30,12
Thu,2020-12-31,2020,3:00p,Cleveland Cavaliers,99,Indiana Pacers,119,,0,2020/2021,Dec,31,12
Thu,2020-12-31,2020,5:00p,Chicago Bulls,133,Washington Wizards,130,,0,2020/2021,Dec,31,12
Thu,2020-12-31,2020,6:30p,Philadelphia 76ers,116,Orlando Magic,92,,3247,2020/2021,Dec,31,12
Thu,2020-12-31,2020,7:00p,Sacramento Kings,119,Houston Rockets,122,,3247,2020/2021,Dec,31,12
Thu,2020-12-31,2020,7:30p,New York Knicks,83,Toronto Raptors,100,,3449,2020/2021,Dec,31,12
Thu,2020-12-31,2020,8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,80,,0,2020/2021,Dec,31,12
Thu,2020-12-31,2020,9:00p,Phoenix Suns,106,Utah Jazz,95,,1932,2020/2021,Dec,31,12
