home,visitor,game_date,Schedule Type,League
Philadelphia 76ers,Oklahoma City Thunder,2021-04-26,Planned,NBA
Washington Wizards,San Antonio Spurs,2021-04-26,Planned,NBA
New York Knicks,Phoenix Suns,2021-04-26,Planned,NBA
Toronto Raptors,Cleveland Cavaliers,2021-04-26,Planned,NBA
Miami Heat,Chicago Bulls,2021-04-26,Planned,NBA
Sacramento Kings,Dallas Mavericks,2021-04-26,Planned,NBA
Denver Nuggets,Memphis Grizzlies,2021-04-26,Planned,NBA
New Orleans Pelicans,Los Angeles Clippers,2021-04-26,Planned,NBA
Golden State Warriors,Dallas Mavericks,2021-04-27,Planned,NBA
Toronto Raptors,Brooklyn Nets,2021-04-27,Planned,NBA
Indiana Pacers,Portland Trail Blazers,2021-04-27,Planned,NBA
Charlotte Hornets,Milwaukee Bucks,2021-04-27,Planned,NBA
Boston Celtics,Oklahoma City Thunder,2021-04-27,Planned,NBA
Houston Rockets,Minnesota Timberwolves,2021-04-27,Planned,NBA
Philadelphia 76ers,Atlanta Hawks,2021-04-28,Planned,NBA
Cleveland Cavaliers,Orlando Magic,2021-04-28,Planned,NBA
Boston Celtics,Charlotte Hornets,2021-04-28,Planned,NBA
Sacramento Kings,Utah Jazz,2021-04-28,Planned,NBA
Phoenix Suns,Los Angeles Clippers,2021-04-28,Planned,NBA
Memphis Grizzlies,Portland Trail Blazers,2021-04-28,Planned,NBA
Denver Nuggets,New Orleans Pelicans,2021-04-28,Planned,NBA
Miami Heat,San Antonio Spurs,2021-04-28,Planned,NBA
Washington Wizards,Los Angeles Lakers,2021-04-28,Planned,NBA
New York Knicks,Chicago Bulls,2021-04-28,Planned,NBA
Houston Rockets,Milwaukee Bucks,2021-04-29,Planned,NBA
Oklahoma City Thunder,New Orleans Pelicans,2021-04-29,Planned,NBA
Indiana Pacers,Brooklyn Nets,2021-04-29,Planned,NBA
Detroit Pistons,Dallas Mavericks,2021-04-29,Planned,NBA
Minnesota Timberwolves,Golden State Warriors,2021-04-29,Planned,NBA
Denver Nuggets,Toronto Raptors,2021-04-29,Planned,NBA
Los Angeles Lakers,Sacramento Kings,2021-04-30,Planned,NBA
Boston Celtics,San Antonio Spurs,2021-04-30,Planned,NBA
Philadelphia 76ers,Atlanta Hawks,2021-04-30,Planned,NBA
Cleveland Cavaliers,Washington Wizards,2021-04-30,Planned,NBA
Brooklyn Nets,Portland Trail Blazers,2021-04-30,Planned,NBA
Memphis Grizzlies,Orlando Magic,2021-04-30,Planned,NBA
Chicago Bulls,Milwaukee Bucks,2021-04-30,Planned,NBA
Phoenix Suns,Utah Jazz,2021-04-30,Planned,NBA
Cleveland Cavaliers,Miami Heat,2021-05-01,Planned,NBA
Minnesota Timberwolves,New Orleans Pelicans,2021-05-01,Planned,NBA
Atlanta Hawks,Chicago Bulls,2021-05-01,Planned,NBA
Utah Jazz,Toronto Raptors,2021-05-01,Planned,NBA
Los Angeles Clippers,Denver Nuggets,2021-05-01,Planned,NBA
Dallas Mavericks,Washington Wizards,2021-05-01,Planned,NBA
Orlando Magic,Memphis Grizzlies,2021-05-01,Planned,NBA
Oklahoma City Thunder,Indiana Pacers,2021-05-01,Planned,NBA
Houston Rockets,Golden State Warriors,2021-05-01,Planned,NBA
Charlotte Hornets,Detroit Pistons,2021-05-01,Planned,NBA
Houston Rockets,New York Knicks,2021-05-02,Planned,NBA
San Antonio Spurs,Philadelphia 76ers,2021-05-02,Planned,NBA
Dallas Mavericks,Sacramento Kings,2021-05-02,Planned,NBA
Charlotte Hornets,Miami Heat,2021-05-02,Planned,NBA
Boston Celtics,Portland Trail Blazers,2021-05-02,Planned,NBA
Milwaukee Bucks,Brooklyn Nets,2021-05-02,Planned,NBA
Oklahoma City Thunder,Phoenix Suns,2021-05-02,Planned,NBA
Los Angeles Lakers,Toronto Raptors,2021-05-02,Planned,NBA
Atlanta Hawks,Portland Trail Blazers,2021-05-03,Planned,NBA
Detroit Pistons,Orlando Magic,2021-05-03,Planned,NBA
Washington Wizards,Indiana Pacers,2021-05-03,Planned,NBA
New Orleans Pelicans,Golden State Warriors,2021-05-03,Planned,NBA
Chicago Bulls,Philadelphia 76ers,2021-05-03,Planned,NBA
Utah Jazz,San Antonio Spurs,2021-05-03,Planned,NBA
Los Angeles Lakers,Denver Nuggets,2021-05-03,Planned,NBA
Memphis Grizzlies,New York Knicks,2021-05-03,Planned,NBA
Detroit Pistons,Charlotte Hornets,2021-05-04,Planned,NBA
Cleveland Cavaliers,Phoenix Suns,2021-05-04,Planned,NBA
Los Angeles Clippers,Toronto Raptors,2021-05-04,Planned,NBA
Oklahoma City Thunder,Sacramento Kings,2021-05-04,Planned,NBA
Milwaukee Bucks,Brooklyn Nets,2021-05-04,Planned,NBA
New Orleans Pelicans,Golden State Warriors,2021-05-04,Planned,NBA
Miami Heat,Dallas Mavericks,2021-05-04,Planned,NBA
Cleveland Cavaliers,Portland Trail Blazers,2021-05-05,Planned,NBA
Orlando Magic,Boston Celtics,2021-05-05,Planned,NBA
Utah Jazz,San Antonio Spurs,2021-05-05,Planned,NBA
Denver Nuggets,New York Knicks,2021-05-05,Planned,NBA
Indiana Pacers,Sacramento Kings,2021-05-05,Planned,NBA
Houston Rockets,Philadelphia 76ers,2021-05-05,Planned,NBA
Atlanta Hawks,Phoenix Suns,2021-05-05,Planned,NBA
Indiana Pacers,Atlanta Hawks,2021-05-06,Planned,NBA
Golden State Warriors,Oklahoma City Thunder,2021-05-06,Planned,NBA
Los Angeles Clippers,Los Angeles Lakers,2021-05-06,Planned,NBA
Toronto Raptors,Washington Wizards,2021-05-06,Planned,NBA
Dallas Mavericks,Brooklyn Nets,2021-05-06,Planned,NBA
Detroit Pistons,Memphis Grizzlies,2021-05-06,Planned,NBA
Sacramento Kings,San Antonio Spurs,2021-05-07,Planned,NBA
Portland Trail Blazers,Los Angeles Lakers,2021-05-07,Planned,NBA
Charlotte Hornets,Orlando Magic,2021-05-07,Planned,NBA
Philadelphia 76ers,New Orleans Pelicans,2021-05-07,Planned,NBA
Miami Heat,Minnesota Timberwolves,2021-05-07,Planned,NBA
Milwaukee Bucks,Houston Rockets,2021-05-07,Planned,NBA
Dallas Mavericks,Cleveland Cavaliers,2021-05-07,Planned,NBA
Utah Jazz,Denver Nuggets,2021-05-07,Planned,NBA
Phoenix Suns,New York Knicks,2021-05-07,Planned,NBA
Indiana Pacers,Washington Wizards,2021-05-08,Planned,NBA
Utah Jazz,Houston Rockets,2021-05-08,Planned,NBA
Portland Trail Blazers,San Antonio Spurs,2021-05-08,Planned,NBA
Golden State Warriors,Oklahoma City Thunder,2021-05-08,Planned,NBA
Denver Nuggets,Brooklyn Nets,2021-05-08,Planned,NBA
Toronto Raptors,Memphis Grizzlies,2021-05-08,Planned,NBA
Philadelphia 76ers,Detroit Pistons,2021-05-08,Planned,NBA
Los Angeles Clippers,New York Knicks,2021-05-09,Planned,NBA
Charlotte Hornets,New Orleans Pelicans,2021-05-09,Planned,NBA
Orlando Magic,Minnesota Timberwolves,2021-05-09,Planned,NBA
Detroit Pistons,Chicago Bulls,2021-05-09,Planned,NBA
Los Angeles Lakers,Phoenix Suns,2021-05-09,Planned,NBA
Sacramento Kings,Oklahoma City Thunder,2021-05-09,Planned,NBA
Boston Celtics,Miami Heat,2021-05-09,Planned,NBA
Cleveland Cavaliers,Dallas Mavericks,2021-05-09,Planned,NBA
Golden State Warriors,Utah Jazz,2021-05-10,Planned,NBA
Portland Trail Blazers,Houston Rockets,2021-05-10,Planned,NBA
Atlanta Hawks,Washington Wizards,2021-05-10,Planned,NBA
Cleveland Cavaliers,Indiana Pacers,2021-05-10,Planned,NBA
Memphis Grizzlies,New Orleans Pelicans,2021-05-10,Planned,NBA
San Antonio Spurs,Milwaukee Bucks,2021-05-10,Planned,NBA
Toronto Raptors,Los Angeles Clippers,2021-05-11,Planned,NBA
Chicago Bulls,Brooklyn Nets,2021-05-11,Planned,NBA
Indiana Pacers,Philadelphia 76ers,2021-05-11,Planned,NBA
Memphis Grizzlies,Dallas Mavericks,2021-05-11,Planned,NBA
Milwaukee Bucks,Orlando Magic,2021-05-11,Planned,NBA
Golden State Warriors,Phoenix Suns,2021-05-11,Planned,NBA
Los Angeles Lakers,New York Knicks,2021-05-11,Planned,NBA
Sacramento Kings,Oklahoma City Thunder,2021-05-11,Planned,NBA
Detroit Pistons,Minnesota Timberwolves,2021-05-11,Planned,NBA
Utah Jazz,Portland Trail Blazers,2021-05-12,Planned,NBA
Cleveland Cavaliers,Boston Celtics,2021-05-12,Planned,NBA
Brooklyn Nets,San Antonio Spurs,2021-05-12,Planned,NBA
Atlanta Hawks,Washington Wizards,2021-05-12,Planned,NBA
Los Angeles Lakers,Houston Rockets,2021-05-12,Planned,NBA
Charlotte Hornets,Los Angeles Clippers,2021-05-13,Planned,NBA
Indiana Pacers,Milwaukee Bucks,2021-05-13,Planned,NBA
Atlanta Hawks,Orlando Magic,2021-05-13,Planned,NBA
Miami Heat,Philadelphia 76ers,2021-05-13,Planned,NBA
Chicago Bulls,Toronto Raptors,2021-05-13,Planned,NBA
Minnesota Timberwolves,Denver Nuggets,2021-05-13,Planned,NBA
Phoenix Suns,Portland Trail Blazers,2021-05-13,Planned,NBA
Golden State Warriors,New Orleans Pelicans,2021-05-14,Planned,NBA
Houston Rockets,Los Angeles Clippers,2021-05-14,Planned,NBA
Oklahoma City Thunder,Utah Jazz,2021-05-14,Planned,NBA
Philadelphia 76ers,Orlando Magic,2021-05-14,Planned,NBA
Detroit Pistons,Denver Nuggets,2021-05-14,Planned,NBA
Dallas Mavericks,Toronto Raptors,2021-05-14,Planned,NBA
Brooklyn Nets,Chicago Bulls,2021-05-15,Planned,NBA
Indiana Pacers,Los Angeles Lakers,2021-05-15,Planned,NBA
New York Knicks,Charlotte Hornets,2021-05-15,Planned,NBA
Minnesota Timberwolves,Boston Celtics,2021-05-15,Planned,NBA
San Antonio Spurs,Phoenix Suns,2021-05-15,Planned,NBA
Milwaukee Bucks,Miami Heat,2021-05-15,Planned,NBA
Oklahoma City Thunder,Los Angeles Clippers,2021-05-16,Planned,NBA
New Orleans Pelicans,Los Angeles Lakers,2021-05-16,Planned,NBA
Minnesota Timberwolves,Dallas Mavericks,2021-05-16,Planned,NBA
Chicago Bulls,Milwaukee Bucks,2021-05-16,Planned,NBA
Detroit Pistons,Miami Heat,2021-05-16,Planned,NBA
Philadelphia 76ers,Orlando Magic,2021-05-16,Planned,NBA
Washington Wizards,Charlotte Hornets,2021-05-16,Planned,NBA
Atlanta Hawks,Houston Rockets,2021-05-16,Planned,NBA
Golden State Warriors,Memphis Grizzlies,2021-05-16,Planned,NBA
San Antonio Spurs,Phoenix Suns,2021-05-16,Planned,NBA
Toronto Raptors,Indiana Pacers,2021-05-16,Planned,NBA
New York Knicks,Boston Celtics,2021-05-16,Planned,NBA
Portland Trail Blazers,Denver Nuggets,2021-05-16,Planned,NBA
Brooklyn Nets,Cleveland Cavaliers,2021-05-16,Planned,NBA
Sacramento Kings,Utah Jazz,2021-05-16,Planned,NBA
,,,Planned,NBA
Brooklyn Nets,Golden State Warriors,2020-12-22,Actual,NBA
Los Angeles Lakers,Los Angeles Clippers,2020-12-22,Actual,NBA
Cleveland Cavaliers,Charlotte Hornets,2020-12-23,Actual,NBA
Indiana Pacers,New York Knicks,2020-12-23,Actual,NBA
Orlando Magic,Miami Heat,2020-12-23,Actual,NBA
Philadelphia 76ers,Washington Wizards,2020-12-23,Actual,NBA
Toronto Raptors,New Orleans Pelicans,2020-12-23,Actual,NBA
Boston Celtics,Milwaukee Bucks,2020-12-23,Actual,NBA
Chicago Bulls,Atlanta Hawks,2020-12-23,Actual,NBA
Memphis Grizzlies,San Antonio Spurs,2020-12-23,Actual,NBA
Minnesota Timberwolves,Detroit Pistons,2020-12-23,Actual,NBA
Denver Nuggets,Sacramento Kings,2020-12-23,Actual,NBA
Portland Trail Blazers,Utah Jazz,2020-12-23,Actual,NBA
Phoenix Suns,Dallas Mavericks,2020-12-23,Actual,NBA
Miami Heat,New Orleans Pelicans,2020-12-25,Actual,NBA
Milwaukee Bucks,Golden State Warriors,2020-12-25,Actual,NBA
Boston Celtics,Brooklyn Nets,2020-12-25,Actual,NBA
Los Angeles Lakers,Dallas Mavericks,2020-12-25,Actual,NBA
Denver Nuggets,Los Angeles Clippers,2020-12-25,Actual,NBA
Memphis Grizzlies,Atlanta Hawks,2020-12-26,Actual,NBA
Charlotte Hornets,Oklahoma City Thunder,2020-12-26,Actual,NBA
Detroit Pistons,Cleveland Cavaliers,2020-12-26,Actual,NBA
Washington Wizards,Orlando Magic,2020-12-26,Actual,NBA
New York Knicks,Philadelphia 76ers,2020-12-26,Actual,NBA
Chicago Bulls,Indiana Pacers,2020-12-26,Actual,NBA
San Antonio Spurs,Toronto Raptors,2020-12-26,Actual,NBA
Utah Jazz,Minnesota Timberwolves,2020-12-26,Actual,NBA
Portland Trail Blazers,Houston Rockets,2020-12-26,Actual,NBA
Sacramento Kings,Phoenix Suns,2020-12-26,Actual,NBA
Los Angeles Clippers,Dallas Mavericks,2020-12-27,Actual,NBA
New Orleans Pelicans,San Antonio Spurs,2020-12-27,Actual,NBA
Washington Wizards,Orlando Magic,2020-12-27,Actual,NBA
Charlotte Hornets,Brooklyn Nets,2020-12-27,Actual,NBA
Cleveland Cavaliers,Philadelphia 76ers,2020-12-27,Actual,NBA
New York Knicks,Milwaukee Bucks,2020-12-27,Actual,NBA
Indiana Pacers,Boston Celtics,2020-12-27,Actual,NBA
Chicago Bulls,Golden State Warriors,2020-12-27,Actual,NBA
Sacramento Kings,Phoenix Suns,2020-12-27,Actual,NBA
Los Angeles Lakers,Minnesota Timberwolves,2020-12-27,Actual,NBA
Brooklyn Nets,Memphis Grizzlies,2020-12-28,Actual,NBA
Atlanta Hawks,Detroit Pistons,2020-12-28,Actual,NBA
Oklahoma City Thunder,Utah Jazz,2020-12-28,Actual,NBA
Denver Nuggets,Houston Rockets,2020-12-28,Actual,NBA
Los Angeles Lakers,Portland Trail Blazers,2020-12-28,Actual,NBA
Cleveland Cavaliers,New York Knicks,2020-12-29,Actual,NBA
Detroit Pistons,Golden State Warriors,2020-12-29,Actual,NBA
Indiana Pacers,Boston Celtics,2020-12-29,Actual,NBA
Washington Wizards,Chicago Bulls,2020-12-29,Actual,NBA
Philadelphia 76ers,Toronto Raptors,2020-12-29,Actual,NBA
Miami Heat,Milwaukee Bucks,2020-12-29,Actual,NBA
Oklahoma City Thunder,Orlando Magic,2020-12-29,Actual,NBA
Phoenix Suns,New Orleans Pelicans,2020-12-29,Actual,NBA
Sacramento Kings,Denver Nuggets,2020-12-29,Actual,NBA
Los Angeles Clippers,Minnesota Timberwolves,2020-12-29,Actual,NBA
Miami Heat,Milwaukee Bucks,2020-12-30,Actual,NBA
Brooklyn Nets,Atlanta Hawks,2020-12-30,Actual,NBA
Boston Celtics,Memphis Grizzlies,2020-12-30,Actual,NBA
Dallas Mavericks,Charlotte Hornets,2020-12-30,Actual,NBA
San Antonio Spurs,Los Angeles Lakers,2020-12-30,Actual,NBA
Los Angeles Clippers,Portland Trail Blazers,2020-12-30,Actual,NBA
Indiana Pacers,Cleveland Cavaliers,2020-12-31,Actual,NBA
Washington Wizards,Chicago Bulls,2020-12-31,Actual,NBA
Orlando Magic,Philadelphia 76ers,2020-12-31,Actual,NBA
Houston Rockets,Sacramento Kings,2020-12-31,Actual,NBA
Toronto Raptors,New York Knicks,2020-12-31,Actual,NBA
Oklahoma City Thunder,New Orleans Pelicans,2020-12-31,Actual,NBA
Utah Jazz,Phoenix Suns,2020-12-31,Actual,NBA
Charlotte Hornets,Memphis Grizzlies,2021-01-01,Actual,NBA
Dallas Mavericks,Miami Heat,2021-01-01,Actual,NBA
Detroit Pistons,Boston Celtics,2021-01-01,Actual,NBA
Brooklyn Nets,Atlanta Hawks,2021-01-01,Actual,NBA
Milwaukee Bucks,Chicago Bulls,2021-01-01,Actual,NBA
Minnesota Timberwolves,Washington Wizards,2021-01-01,Actual,NBA
San Antonio Spurs,Los Angeles Lakers,2021-01-01,Actual,NBA
Denver Nuggets,Phoenix Suns,2021-01-01,Actual,NBA
Utah Jazz,Los Angeles Clippers,2021-01-01,Actual,NBA
Golden State Warriors,Portland Trail Blazers,2021-01-01,Actual,NBA
Houston Rockets,Sacramento Kings,2021-01-02,Actual,NBA
Indiana Pacers,New York Knicks,2021-01-02,Actual,NBA
Orlando Magic,Oklahoma City Thunder,2021-01-02,Actual,NBA
Philadelphia 76ers,Charlotte Hornets,2021-01-02,Actual,NBA
Atlanta Hawks,Cleveland Cavaliers,2021-01-02,Actual,NBA
New Orleans Pelicans,Toronto Raptors,2021-01-02,Actual,NBA
Detroit Pistons,Boston Celtics,2021-01-03,Actual,NBA
Brooklyn Nets,Washington Wizards,2021-01-03,Actual,NBA
Memphis Grizzlies,Los Angeles Lakers,2021-01-03,Actual,NBA
Minnesota Timberwolves,Denver Nuggets,2021-01-03,Actual,NBA
San Antonio Spurs,Utah Jazz,2021-01-03,Actual,NBA
Chicago Bulls,Dallas Mavericks,2021-01-03,Actual,NBA
Phoenix Suns,Los Angeles Clippers,2021-01-03,Actual,NBA
Golden State Warriors,Portland Trail Blazers,2021-01-03,Actual,NBA
Orlando Magic,Cleveland Cavaliers,2021-01-04,Actual,NBA
Philadelphia 76ers,Charlotte Hornets,2021-01-04,Actual,NBA
Atlanta Hawks,New York Knicks,2021-01-04,Actual,NBA
Miami Heat,Oklahoma City Thunder,2021-01-04,Actual,NBA
Toronto Raptors,Boston Celtics,2021-01-04,Actual,NBA
Houston Rockets,Dallas Mavericks,2021-01-04,Actual,NBA
Milwaukee Bucks,Detroit Pistons,2021-01-04,Actual,NBA
New Orleans Pelicans,Indiana Pacers,2021-01-04,Actual,NBA
Golden State Warriors,Sacramento Kings,2021-01-04,Actual,NBA
Brooklyn Nets,Utah Jazz,2021-01-05,Actual,NBA
Memphis Grizzlies,Los Angeles Lakers,2021-01-05,Actual,NBA
Denver Nuggets,Minnesota Timberwolves,2021-01-05,Actual,NBA
Los Angeles Clippers,San Antonio Spurs,2021-01-05,Actual,NBA
Portland Trail Blazers,Chicago Bulls,2021-01-05,Actual,NBA
Indiana Pacers,Houston Rockets,2021-01-06,Actual,NBA
Orlando Magic,Cleveland Cavaliers,2021-01-06,Actual,NBA
Philadelphia 76ers,Washington Wizards,2021-01-06,Actual,NBA
Atlanta Hawks,Charlotte Hornets,2021-01-06,Actual,NBA
Miami Heat,Boston Celtics,2021-01-06,Actual,NBA
New York Knicks,Utah Jazz,2021-01-06,Actual,NBA
Milwaukee Bucks,Detroit Pistons,2021-01-06,Actual,NBA
New Orleans Pelicans,Oklahoma City Thunder,2021-01-06,Actual,NBA
Phoenix Suns,Toronto Raptors,2021-01-06,Actual,NBA
Golden State Warriors,Los Angeles Clippers,2021-01-06,Actual,NBA
Sacramento Kings,Chicago Bulls,2021-01-06,Actual,NBA
Brooklyn Nets,Philadelphia 76ers,2021-01-07,Actual,NBA
Memphis Grizzlies,Cleveland Cavaliers,2021-01-07,Actual,NBA
Denver Nuggets,Dallas Mavericks,2021-01-07,Actual,NBA
Los Angeles Lakers,San Antonio Spurs,2021-01-07,Actual,NBA
Portland Trail Blazers,Minnesota Timberwolves,2021-01-07,Actual,NBA
Detroit Pistons,Phoenix Suns,2021-01-08,Actual,NBA
Boston Celtics,Washington Wizards,2021-01-08,Actual,NBA
New Orleans Pelicans,Charlotte Hornets,2021-01-08,Actual,NBA
New York Knicks,Oklahoma City Thunder,2021-01-08,Actual,NBA
Houston Rockets,Orlando Magic,2021-01-08,Actual,NBA
Memphis Grizzlies,Brooklyn Nets,2021-01-08,Actual,NBA
Milwaukee Bucks,Utah Jazz,2021-01-08,Actual,NBA
Golden State Warriors,Los Angeles Clippers,2021-01-08,Actual,NBA
Los Angeles Lakers,Chicago Bulls,2021-01-08,Actual,NBA
Sacramento Kings,Toronto Raptors,2021-01-08,Actual,NBA
Philadelphia 76ers,Denver Nuggets,2021-01-09,Actual,NBA
Charlotte Hornets,Atlanta Hawks,2021-01-09,Actual,NBA
Indiana Pacers,Phoenix Suns,2021-01-09,Actual,NBA
Washington Wizards,Miami Heat,2021-01-09,Actual,NBA
Milwaukee Bucks,Cleveland Cavaliers,2021-01-09,Actual,NBA
Minnesota Timberwolves,San Antonio Spurs,2021-01-09,Actual,NBA
Dallas Mavericks,Orlando Magic,2021-01-09,Actual,NBA
Sacramento Kings,Portland Trail Blazers,2021-01-09,Actual,NBA
Detroit Pistons,Utah Jazz,2021-01-10,Actual,NBA
Los Angeles Clippers,Chicago Bulls,2021-01-10,Actual,NBA
Brooklyn Nets,Oklahoma City Thunder,2021-01-10,Actual,NBA
New York Knicks,Denver Nuggets,2021-01-10,Actual,NBA
Houston Rockets,Los Angeles Lakers,2021-01-10,Actual,NBA
Minnesota Timberwolves,San Antonio Spurs,2021-01-10,Actual,NBA
Golden State Warriors,Toronto Raptors,2021-01-10,Actual,NBA
Charlotte Hornets,New York Knicks,2021-01-11,Actual,NBA
Cleveland Cavaliers,Memphis Grizzlies,2021-01-11,Actual,NBA
Orlando Magic,Milwaukee Bucks,2021-01-11,Actual,NBA
Washington Wizards,Phoenix Suns,2021-01-11,Actual,NBA
Atlanta Hawks,Philadelphia 76ers,2021-01-11,Actual,NBA
Portland Trail Blazers,Toronto Raptors,2021-01-11,Actual,NBA
Sacramento Kings,Indiana Pacers,2021-01-11,Actual,NBA
Philadelphia 76ers,Miami Heat,2021-01-12,Actual,NBA
Brooklyn Nets,Denver Nuggets,2021-01-12,Actual,NBA
Cleveland Cavaliers,Utah Jazz,2021-01-12,Actual,NBA
Houston Rockets,Los Angeles Lakers,2021-01-12,Actual,NBA
Oklahoma City Thunder,San Antonio Spurs,2021-01-12,Actual,NBA
Golden State Warriors,Indiana Pacers,2021-01-12,Actual,NBA
Charlotte Hornets,Dallas Mavericks,2021-01-13,Actual,NBA
Detroit Pistons,Milwaukee Bucks,2021-01-13,Actual,NBA
New York Knicks,Brooklyn Nets,2021-01-13,Actual,NBA
Minnesota Timberwolves,Memphis Grizzlies,2021-01-13,Actual,NBA
Oklahoma City Thunder,Los Angeles Lakers,2021-01-13,Actual,NBA
Los Angeles Clippers,New Orleans Pelicans,2021-01-13,Actual,NBA
Sacramento Kings,Portland Trail Blazers,2021-01-13,Actual,NBA
Philadelphia 76ers,Miami Heat,2021-01-14,Actual,NBA
San Antonio Spurs,Houston Rockets,2021-01-14,Actual,NBA
Toronto Raptors,Charlotte Hornets,2021-01-14,Actual,NBA
Denver Nuggets,Golden State Warriors,2021-01-14,Actual,NBA
Portland Trail Blazers,Indiana Pacers,2021-01-14,Actual,NBA
Boston Celtics,Orlando Magic,2021-01-15,Actual,NBA
Cleveland Cavaliers,New York Knicks,2021-01-15,Actual,NBA
Milwaukee Bucks,Dallas Mavericks,2021-01-15,Actual,NBA
Oklahoma City Thunder,Chicago Bulls,2021-01-15,Actual,NBA
Utah Jazz,Atlanta Hawks,2021-01-15,Actual,NBA
Los Angeles Lakers,New Orleans Pelicans,2021-01-15,Actual,NBA
Sacramento Kings,Los Angeles Clippers,2021-01-15,Actual,NBA
San Antonio Spurs,Houston Rockets,2021-01-16,Actual,NBA
Brooklyn Nets,Orlando Magic,2021-01-16,Actual,NBA
Toronto Raptors,Charlotte Hornets,2021-01-16,Actual,NBA
Memphis Grizzlies,Philadelphia 76ers,2021-01-16,Actual,NBA
Miami Heat,Detroit Pistons,2021-01-16,Actual,NBA
Portland Trail Blazers,Atlanta Hawks,2021-01-16,Actual,NBA
Boston Celtics,New York Knicks,2021-01-17,Actual,NBA
Dallas Mavericks,Chicago Bulls,2021-01-17,Actual,NBA
Denver Nuggets,Utah Jazz,2021-01-17,Actual,NBA
Sacramento Kings,New Orleans Pelicans,2021-01-17,Actual,NBA
Los Angeles Clippers,Indiana Pacers,2021-01-17,Actual,NBA
New York Knicks,Orlando Magic,2021-01-18,Actual,NBA
Atlanta Hawks,Minnesota Timberwolves,2021-01-18,Actual,NBA
Portland Trail Blazers,San Antonio Spurs,2021-01-18,Actual,NBA
Memphis Grizzlies,Phoenix Suns,2021-01-18,Actual,NBA
Brooklyn Nets,Milwaukee Bucks,2021-01-18,Actual,NBA
Toronto Raptors,Dallas Mavericks,2021-01-18,Actual,NBA
Chicago Bulls,Houston Rockets,2021-01-18,Actual,NBA
Miami Heat,Detroit Pistons,2021-01-18,Actual,NBA
Los Angeles Lakers,Golden State Warriors,2021-01-18,Actual,NBA
Denver Nuggets,Oklahoma City Thunder,2021-01-19,Actual,NBA
Utah Jazz,New Orleans Pelicans,2021-01-19,Actual,NBA
Cleveland Cavaliers,Brooklyn Nets,2021-01-20,Actual,NBA
Indiana Pacers,Dallas Mavericks,2021-01-20,Actual,NBA
Philadelphia 76ers,Boston Celtics,2021-01-20,Actual,NBA
Atlanta Hawks,Detroit Pistons,2021-01-20,Actual,NBA
Toronto Raptors,Miami Heat,2021-01-20,Actual,NBA
Minnesota Timberwolves,Orlando Magic,2021-01-20,Actual,NBA
Houston Rockets,Phoenix Suns,2021-01-20,Actual,NBA
Golden State Warriors,San Antonio Spurs,2021-01-20,Actual,NBA
Los Angeles Clippers,Sacramento Kings,2021-01-20,Actual,NBA
Milwaukee Bucks,Los Angeles Lakers,2021-01-21,Actual,NBA
Golden State Warriors,New York Knicks,2021-01-21,Actual,NBA
Utah Jazz,New Orleans Pelicans,2021-01-21,Actual,NBA
Charlotte Hornets,Chicago Bulls,2021-01-22,Actual,NBA
Detroit Pistons,Houston Rockets,2021-01-22,Actual,NBA
Indiana Pacers,Orlando Magic,2021-01-22,Actual,NBA
Cleveland Cavaliers,Brooklyn Nets,2021-01-22,Actual,NBA
Philadelphia 76ers,Boston Celtics,2021-01-22,Actual,NBA
Toronto Raptors,Miami Heat,2021-01-22,Actual,NBA
Minnesota Timberwolves,Atlanta Hawks,2021-01-22,Actual,NBA
San Antonio Spurs,Dallas Mavericks,2021-01-22,Actual,NBA
Los Angeles Clippers,Oklahoma City Thunder,2021-01-22,Actual,NBA
Phoenix Suns,Denver Nuggets,2021-01-22,Actual,NBA
Sacramento Kings,New York Knicks,2021-01-22,Actual,NBA
Brooklyn Nets,Miami Heat,2021-01-23,Actual,NBA
Detroit Pistons,Philadelphia 76ers,2021-01-23,Actual,NBA
Minnesota Timberwolves,New Orleans Pelicans,2021-01-23,Actual,NBA
Chicago Bulls,Los Angeles Lakers,2021-01-23,Actual,NBA
Dallas Mavericks,Houston Rockets,2021-01-23,Actual,NBA
Phoenix Suns,Denver Nuggets,2021-01-23,Actual,NBA
Utah Jazz,Golden State Warriors,2021-01-23,Actual,NBA
Indiana Pacers,Toronto Raptors,2021-01-24,Actual,NBA
Los Angeles Clippers,Oklahoma City Thunder,2021-01-24,Actual,NBA
Boston Celtics,Cleveland Cavaliers,2021-01-24,Actual,NBA
Orlando Magic,Charlotte Hornets,2021-01-24,Actual,NBA
Milwaukee Bucks,Atlanta Hawks,2021-01-24,Actual,NBA
San Antonio Spurs,Washington Wizards,2021-01-24,Actual,NBA
Portland Trail Blazers,New York Knicks,2021-01-24,Actual,NBA
Detroit Pistons,Philadelphia 76ers,2021-01-25,Actual,NBA
Indiana Pacers,Toronto Raptors,2021-01-25,Actual,NBA
Orlando Magic,Charlotte Hornets,2021-01-25,Actual,NBA
Brooklyn Nets,Miami Heat,2021-01-25,Actual,NBA
Cleveland Cavaliers,Los Angeles Lakers,2021-01-25,Actual,NBA
Dallas Mavericks,Denver Nuggets,2021-01-25,Actual,NBA
Chicago Bulls,Boston Celtics,2021-01-25,Actual,NBA
Golden State Warriors,Minnesota Timberwolves,2021-01-25,Actual,NBA
